,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
698,Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",2,2022,3,4,6111,4,756907987.0,185,40,492.0,9,35.0,95,G#,Major,76,96,70,18,0,33,4
699,Una Noche en Medell ,Cris Mj,1,2022,1,21,5415,32,682475162.0,46,16,53.0,1,2.0,96,A#,Minor,87,82,53,10,0,5,8
700,Envolver,Anitta,1,2021,11,11,4673,2,546191065.0,123,113,180.0,1,4.0,92,E,Minor,81,40,73,15,0,9,8
701,Starlight,Dave,1,2022,3,3,1856,3,229473310.0,29,40,31.0,1,1.0,124,G,Major,95,36,37,35,0,10,28
704,DAN  A,"Mc Pedrinho, Pedro Sampaio",2,2022,2,1,911,2,208166039.0,45,0,99.0,1,1.0,135,A,Minor,78,55,57,4,0,10,8
705,Yo Voy (feat. Daddy Yankee),Zion & Lennox,1,2004,5,4,2954,2,527033089.0,18,82,0.0,0,5.0,95,A#,Major,81,56,70,4,0,5,24
706,"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",2,2022,3,3,461,0,94616487.0,7,11,13.0,0,0.0,71,C#,Minor,59,70,74,56,0,11,40
707,Jordan,Ryan Castro,1,2021,4,30,2844,2,394030335.0,29,2,35.0,1,0.0,180,A#,Minor,80,71,68,6,0,10,37
709,Chale,Eden Mu  ,1,2022,2,18,695,11,299648208.0,16,41,13.0,1,1.0,189,G#,Major,55,86,44,40,0,7,4
710,DARARI,Treasure,1,2022,2,15,328,0,182978249.0,10,21,7.0,0,9.0,85,Unknown,Major,72,55,64,49,0,7,4
711,Ya No Somos Ni Seremos,Christian Nodal,1,2022,2,18,866,16,319757142.0,27,84,32.0,7,11.0,140,G,Major,59,73,45,44,0,34,3
712,Thinking with My Dick,"Kevin Gates, Juicy J",2,2013,7,16,1550,0,109091573.0,0,0,14.0,0,0.0,81,Unknown,Major,77,68,70,6,0,17,20
715,La Zona,Bad Bunny,1,2020,2,29,1188,0,312622938.0,13,1,15.0,0,1.0,94,C#,Minor,76,81,80,20,0,25,4
718,Levitating,Dua Lipa,1,2020,3,27,9833,0,797196073.0,233,82,531.0,1,1.0,103,F#,Minor,69,90,88,5,0,29,8
719,Wake Me Up - Radio Edit,Avicii,1,2013,1,1,50887,34,1970673297.0,315,160,0.0,1,46.0,124,D,Major,53,66,78,0,0,16,5
720,"jealousy, jealousy",Olivia Rodrigo,1,2021,5,21,3257,0,665765558.0,10,0,70.0,0,0.0,164,A#,Minor,70,71,58,24,0,7,13
724,Closer,"The Chainsmokers, Halsey",2,2016,5,31,28032,0,2591224264.0,315,159,0.0,0,44.0,95,G#,Major,75,64,52,41,0,11,3
726,Somebody That I Used To Know,"Gotye, Kimbra",2,2011,1,1,42798,0,1457139296.0,217,136,0.0,1,,129,Unknown,Major,86,75,52,54,0,10,4
729,Plan A,Paulo Londra,1,2022,3,23,1105,0,240661097.0,32,0,19.0,0,0.0,174,Unknown,Major,58,56,83,5,0,7,4
731,X   LTIMA,"Daddy Yankee, Bad Bunny",2,2022,3,25,2697,1,349746291.0,55,3,32.0,0,0.0,90,G,Major,81,59,83,9,0,11,5
732,When You're Gone,Shawn Mendes,1,2022,3,31,2092,0,255120451.0,75,11,44.0,0,14.0,147,F,Major,60,58,69,2,0,58,4
734,Wait a Minute!,Willow,1,2015,1,11,11985,0,924193303.0,79,80,250.0,3,10.0,101,D#,Minor,76,63,71,3,0,10,3
735,LOVE DIVE,IVE,1,2022,4,5,753,8,305771063.0,28,124,13.0,0,1.0,118,C#,Minor,70,54,71,0,0,33,4
736,Pantysito,"Feid, Alejo, Robi",3,2022,3,18,2995,0,273005485.0,49,17,30.0,0,0.0,98,G,Minor,83,63,74,14,0,16,6
741,Vampiro,"Matu  , Wiu, ",3,2022,1,30,540,4,187772591.0,26,3,39.0,0,0.0,115,G#,Minor,78,63,64,1,0,7,4
742,Si Quieren Frontear,"De La Ghetto, Duki, Quevedo",3,2022,3,31,859,0,178512385.0,14,0,11.0,0,0.0,82,A#,Major,79,48,84,13,0,21,23
744,Me Arrepent ,"Ak4:20, Cris Mj, Pailita",3,2022,3,30,273,2,118381354.0,12,2,4.0,0,0.0,92,Unknown,Major,86,91,79,29,0,60,16
746,Soy El Unico,Yahritza Y Su Esencia,1,2022,3,25,226,0,126443991.0,5,0,4.0,0,1.0,84,E,Minor,71,63,45,45,0,11,3
747,RUMBAT ,Daddy Yankee,1,2022,3,25,1264,0,157990698.0,20,4,52.0,0,1.0,95,D#,Minor,69,90,91,6,0,35,4
748,sentaDONA (Remix) s2,"Lu  sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",4,2022,3,17,870,0,176290831.0,32,0,49.0,0,0.0,135,D#,Minor,93,77,45,25,0,13,27
750,Sigue,"Ed Sheeran, J Balvin",2,1996,11,24,1370,0,106933107.0,46,8,60.0,0,0.0,88,G,Major,89,59,64,5,0,19,7
752,MANIAC,Stray Kids,1,2022,3,18,651,0,212234990.0,6,188,20.0,0,0.0,120,C#,Major,58,71,80,15,0,7,41
753,There's Nothing Holdin' Me Back,Shawn Mendes,1,2016,9,23,12382,0,1714490998.0,229,57,0.0,2,71.0,122,D,Major,86,97,80,36,0,9,6
754,IDGAF (with blackbear),"Blackbear, BoyWithUke",2,2022,3,18,625,0,197643795.0,10,2,13.0,0,1.0,98,F,Major,78,83,75,41,0,27,8
756,Get Lucky - Radio Edit,"Pharrell Williams, Nile Rodgers, Daft Punk",3,2013,1,1,52898,0,933815613.0,203,1,0.0,0,0.0,116,F#,Minor,79,87,81,4,0,10,4
757,Ain't Shit,Doja Cat,1,2021,6,25,3436,0,499710590.0,32,6,46.0,0,1.0,124,D#,Major,86,62,49,51,0,35,21
758,"Nobody Like U - From ""Turning Red""","Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixar   s Turning Red), Topher Ngo, Grayson Vill",6,2022,2,25,918,0,120847157.0,34,39,30.0,0,0.0,105,A,Minor,91,73,72,13,0,9,15
762,N95,Kendrick Lamar,1,2022,5,13,5542,0,301242089.0,52,16,65.0,0,206.0,140,D#,Minor,81,39,66,38,0,12,14
763,About Damn Time,Lizzo,1,2022,4,14,9021,0,723894473.0,242,49,272.0,21,24.0,109,A#,Minor,84,72,74,10,0,34,7
764,Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",3,2022,5,13,4627,0,237351106.0,38,13,32.0,0,0.0,101,C#,Minor,78,40,74,36,0,17,27
765,Despu  s de la P,Bad Bunny,1,2022,5,6,2229,0,461558540.0,27,44,24.0,0,5.0,78,F,Major,56,61,90,36,0,18,31
